#Powered_by_ParaTranz
RECRUITED_PERCENTAGE_LESS_THAN;Fewer than ?Y$VAL$?W% of soldiers have been recruited\n
RECRUITED_PERCENTAGE_MORE_THAN;At least ?Y$VAL$?W% of soldiers have been recruited\n
SEPARATISM_TECH;Separatism
INC_RES_TECH;Research Points
TOTAL_POPS_NOT_TR;Fewer than ?Y$VAL$?W Pops in $WHERE$
TOTAL_POPS_TR;More than ?Y$VAL$?W Pops in $WHERE$
IS_CRIME_NOT_HIGHER_THAN_EDU_TR;Spending on ?YEducation?W exceeds spending on Administration
IS_CRIME_HIGHER_THAN_EDU_TR;Spending on ?YAdministration?W exceeds spending on Education
ANY_AT_WAR_STARTS;Countries at war
REBEL_POWER_LESS_THAN;Rebellion risk below ?Y$VAL$%?W
REBEL_POWER_MORE_THAN;Rebellion risk above ?Y$VAL$%?W
POP_TYPE_PERC_NOT;$NAME$ below ?Y$VAL$%?W\n
POP_TYPE_PERC;$NAME$ above ?Y$VAL$%?W\n
MAJORITY_IS;Majority pops are
MAJORITY_IS_NOT;Majority pops are not
ICL;Iceland
ICL_ADJ;Icelandic
ISR;Israel
ISR_ADJ;Israeli
BYZ;Byzantium
BYZ_ADJ;Byzantine
BYZ_conservative;Nationalist Party
BYZ_reactionary;Palaiologos Faction
BYZ_liberal;Liberal Party
BYZ_anarcho_liberal;New Party
BYZ_socialist;Byzantine Socialist Party
BYZ_communist;Byzantine Communist Party
BYZ_fascist;Roman Revival Party
ISR_conservative;Liberal Faction
ISR_reactionary;Religious United Front
ISR_liberal;Progressive Party
ISR_anarcho_liberal;General Zionist
ISR_socialist;Israeli Land Workers' Party
ISR_communist;Israeli Communist Party
ISR_fascist;Union of the Strong
ICL_conservative;Independence Party
ICL_reactionary;Citizens' Party
ICL_liberal;Progressive Party
ICL_anarcho_liberal;The Best Party
ICL_socialist;Social Democratic Party
ICL_communist;Icelandic Communist Party
ICL_fascist;Nationalist Party
ANY_CORE_LIMITED;Partial core provinces\n
ANY_CORE_NORMAL;All core provinces\n
POLITICS_NOT_BEFORE;We cannot change the ruling party before ?Y$DATE$?W
POLITICS_NOT_ACCEPTED;Our government system does not allow the ?Y$WHICH$?W party
RELEASE_PRESTIGE;Prestige:
RELEASE_INFAMY;Infamy:
PROV3247;Xixia Hawaii
PROV3248;Strait of Magellan West
EVTDESC1002;A group of liberals, displeased by their lack of economic freedom and the stagnation of parliamentary reform, have decided to form a new $COUNTRY_ADJ$ party. Anarcho-liberals are forward-thinking liberals who will not hesitate to use all necessary means to achieve freedom of thought and freedom of trade within and without $COUNTRY$.
SOMEONE_HAS_ADDED_STATUS_QUO;Once a party has added the ?YStatus Quo?W war goal, we can no longer add war goals
NO_INTERVENTION_NOT_ENOUGH_OPINION;To intervene in a war, the target country must have an opinion of us of at least ?Y$REQLEVEL$?W
peking_convention_title;Treaty of Beijing between China and Russia
peking_convention_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire had recognized the Argun River and the Outer Khingan Mountains as the natural border between Russia and China. In the mid-19th century, Russia extended its sphere of influence beyond this border, seizing vast territories around the Outer Khingan Mountains and the Amur River. Later, the Second Opium War broke out between Western powers and China, resulting in the burning of the Chinese Emperor's Summer Palace and the occupation of Beijing. A cunning major general named Nikolay Ignatiev deceived the Chinese into believing that only Russian support could get the allied forces to withdraw from Beijing. The price was the Treaty of Beijing, recognizing the territories occupied by Muravyov, and ceding the land between the Ussuri River and the Pacific Ocean to Russia. Thus, Russia acquired approximately 350,000 square kilometers of territory without firing a single shot.
russian_vladivostok_title;Ruler of the East
russian_vladivostok_desc;In July 1860, a city was born near the Korean border—Vladivostok (or "Ruler of the East"). It would become an important trading port and a shipbuilding base. Eventually, it would become a hub for a transcontinental railway and an important scientific, cultural, and industrial center. The Tsar dreamed that this hub city would become the node connecting the West and the East. Will Vladivostok, with its railway connection, eventually replace the Suez Canal in transporting raw materials between East and West?
EVTNAME80000;Treaty of Beijing
EVTDESC80000;Russia has demanded that we recognize their occupation of our inherent territories. This is intolerable, but we may have no choice but to accept their demands. If we do so, they will help us secure our sovereignty. Furthermore, if Russia decides to resolve this issue by force, we may not be able to defeat them.
EVTOPTA80000;We have no choice but to sign the treaty.
EVTOPTB80000;To hell with the Tsar!
EVTNAME80001;China Rejects the Treaty
EVTDESC80001;Ungrateful China would rather see their cities burned than agree to our demands. It seems we need to adapt to the capriciousness of our Asian neighbors.
EVTOPTA80001;Once the Russian flag is raised, it will never be lowered!
OL_SIEGES;Sieges
IS_NOT_BIG_PROD_TRIG;Not a major producer of ?Y$VAL$?W\n
IS_BIG_PROD_TRIG;Is a major producer of ?Y$VAL$?W\n
HAVE_LOWER_RANK_THAN;Has lower rank than
HAVE_HIGHER_RANK_THAN;Has higher rank than
MUST_NEGOTIATE_WITH_WAR_LEADER_STATUS_QUO;When we add war goals and the enemy has proposed the ?YStatus Quo?W war goal, we must negotiate with the enemy ?YWar Leader?W
law_of_guarantees_title;Law of Guarantees
law_of_guarantees_desc;In 1870, Italy passed a law aimed at resolving the "Roman Question"—the Law of Guarantees—which granted the Pope king-like privileges, including the right to send and receive ambassadors. Pope Pius IX refused to accept it, arguing it violated the independence of the Holy See and his successors. Although the issue was not resolved until the Lateran Pacts of 1929, this meant the young kingdom could finally establish its capital in Rome.
form_byzantine_empire_title;King of Kings
form_byzantine_empire_desc;With the collapse of the Byzantine Empire, the Ottoman Empire rose. That dark history beginning in 1453 is about to become the past. Constantinople, the city of desire, returns to Greek hands after being occupied by the Turks for so long! Time passes, the world changes, and the empire rises again!
form_israel_title;Balfour Declaration
