#Powered_by_ParaTranz
UNIT_BUILD_TIME_IW;$VAL$ days:
SUPPLY_OWNER;Province owner:
SUPPLY_ALLIED;Ally:
SUPPLY_ACCESS;Military access:
SUPPLY_CONTROLLER;Controlled by:
SUPPLY_CONTROLLER_ALLIANCE;Controlled by alliance:
SUPPLY_SIEGE;Siege:
SUPPLY_CORE;Core:
fascist_uh;Fascists support expanding social reforms and eliminating political reforms, and will oppose any reforms if the ruling party is not fascist
reactionary_uh;Reactionaries always attempt to overturn reforms, reversing both political and social reforms
conservative_uh;Conservatives tend to maintain the status quo, but may turn to support reforms when struggle is intense
socialist_uh;Socialists want to see new social reform laws, but may turn to support political reforms when struggle is intense
communist_uh;Communists want to enact social reform laws, but want to see political reforms reversed
liberal_uh;Liberals want to enact new political reform laws, but will also support social reforms when struggle is intense
anarcho_liberal_uh;Anarcho-liberals want to see social reforms reversed and will not support any new reforms of any kind
RP_ACCUMULATED;We have accumulated ?Y$VAL$?W unused research points
WEGAINCB_SETUP;When our nation gains a casus belli
WEGAINCB_HEADER;$MONARCHTITLE$
WEGAINCB_1;Casus Belli
WEGAINCB_2;We have gained
WEGAINCB_3;against $ENEMY$
WEGAINCB_4;casus belli
WEGAINCB_5;"$CASUS$"
WEGAINCB_6;$DESC$
WEGAINCB_LOG;Our nation has gained a casus belli against $ENEMY$: "$CASUS$".
WEGAINCB_BTN1;Good
WEGAINCB_BTN2;Good
WEGAINCB_BTN3;View
WEGAINCB_MAP;*
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$ War of Liberation of $COUNTRY$
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$ Support of $COUNTRY$
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial Conquest of $STATE$
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial War of $STATE$
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST$ Conquest of $STATE$
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$ War of $STATE$
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Liberation of $STATE$
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Aggression against $STATE$
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$ War against $COUNTRY$
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$ War in $COUNTRY_ADJ$ $FIRST$ - $SECOND$
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$ War of Subjugation of $SECOND$
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$ War of Subjugation of $SECOND$
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War
NORMAL_WAR_CONQUEST_NAME;$ORDER$ War of Conquest of $SECOND$
AGRESSION_WAR_CONQUEST_NAME;$ORDER$$FIRST$ War of Aggression against $SECOND$
ADJ_FORT_EXTRA_ATTR;?R+$VAL$%?W from nearby enemy fort
IS_NOT_ACCEPTED_CULTURE_POP;Not an accepted culture\n
IS_ACCEPTED_CULTURE_POP;Is an accepted culture\n
IS_NOT_PRIMARY_CULTURE_POP;Not ?Y$NAME$?W\n
IS_PRIMARY_CULTURE_POP;Is ?Y$NAME$?W\n
NEW_CORE_EFFECT_TAG2;$TAG$ will gain core of ?Y$NEW$?W\n
digin;Trench
terrain;Terrain
crossing;Crossing
total_occupation;Occupied home provinces
total_blockaded;Blockaded home ports
PW_SLAVE_STATE;Slave State
CURR_REL_TT;Our current relations
great_power;Great Power
second_power;Secondary Power
civ_nation;Civilized Nation
unciv_nation;Uncivilized Nation
REB_TYPE_SIZE;?YRebel Support?W
REB_TYPE_POWER;?YRebel Strength?W
PRODUCTION_MUST_PORT_ONLY;Can only be produced at ports\n
POPULATION_CHANGED_BY;Population changed by
COMBAT_LEADER_MOD;Leader
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;Cannot change ruling party during election
IS_NOT_OVERSEAS;Not overseas
IS_OVERSEAS;Is overseas
SHIP_SUB_NAME;$HOME$ No. $NUM$ $TYPE$
FOLLOWING_HAVE_CLAIMS;The following nations have claims here:
COUNTRY_IS_NOT_CULTURE;The primary culture is not
COUNTRY_IS_CULTURE;The primary culture is
NO_ASSIM_NOW;No assimilation currently
MODIFIER_LOCAL_REPAIR;Ship repair speed
BADBOY_DRO_1;Monthly infamy change:\n
REGIMENT_SIZE;Current strength: ?Y$SIZE$?W\n
CURRENT_MORALE;Organization: ?Y$SIZE$?W, max $MAX$\n
SUPPLY_COST;Supply cost
ALL_CORE_PROVINCE_THAT;In all core provinces
BREAKCOUNTRY_SETUP;When rebel factions enforce their demands in our nation
BREAKCOUNTRY_HEADER;Report from $CAPITAL$
BREAKCOUNTRY_1;$FACTION$ has triumphed!
BREAKCOUNTRY_2;$MONARCHTITLE$, $FACTION$ has enforced their demands!
BREAKCOUNTRY_3;We have no choice but to accept!
BREAKCOUNTRY_4;$EFFECTS$
BREAKCOUNTRY_5;*
BREAKCOUNTRY_6;*
BREAKCOUNTRY_LOG;$FACTION$ enforced their demands!
BREAKCOUNTRY_BTN1;Terrible!
BREAKCOUNTRY_BTN2;Terrible!
BREAKCOUNTRY_BTN3;View
BREAKCOUNTRY_MAP;*
BREAKCOUNTRYOTHER_SETUP;When rebels enforce their demands in another nation
BREAKCOUNTRYOTHER_HEADER;Report from the Ambassador
BREAKCOUNTRYOTHER_1;$OTHER$
BREAKCOUNTRYOTHER_2;$FACTION$ has succeeded in
BREAKCOUNTRYOTHER_3;enforcing their demands in $OTHER$
BREAKCOUNTRYOTHER_4;$EFFECTS$
BREAKCOUNTRYOTHER_5;*
BREAKCOUNTRYOTHER_6;*
BREAKCOUNTRYOTHER_LOG;$FACTION$ has enforced their demands in $OTHER$!
BREAKCOUNTRYOTHER_BTN1;OK
BREAKCOUNTRYOTHER_BTN2;OK
BREAKCOUNTRYOTHER_BTN3;View
BREAKCOUNTRYOTHER_MAP;*
INVENTION_SETUP;When you have gained an invention
INVENTION_HEADER;Report
INVENTION_1;Major Discovery!
INVENTION_2;Our scientists have discovered
INVENTION_3;$INVENTION$
INVENTION_4;$DESC$
INVENTION_5;Its effect is:
INVENTION_6;$EFFECT$
INVENTION_LOG;We have discovered how $INVENTION$ works.
INVENTION_BTN1;OK
INVENTION_BTN2;OK
INVENTION_BTN3;View
INVENTION_MAP;*
revanchism;Revanchism
plurality;Plurality
TOPBAR_LEADERSHIP_GAIN_TOOLTIP;We gain ?Y$CURR$?W leadership from our officer corps each month
UW_AASIGN;Auto-assign leaders
ATTR_SAFE_RANGE;Fleets suffer no attrition when within supply ship range and near coast
TECHNOLOGYVIEW_HAVE_NOT_YEAR;This technology cannot be researched before ?Y$YEAR$?W
ENCOURAGEMENT_FOR;Encouragement for
IS_NOT_PRIMARY_CULTURE;?Y$NAME$?W is not the primary culture\n
IS_PRIMARY_CULTURE;?Y$NAME$?W is the primary culture\n
IS_NOT_ACCEPTED_CULTURE2;?Y$NAME$?W is not an accepted culture\n
IS_ACCEPTED_CULTURE2;?Y$NAME$?W is an accepted culture\n
ALL_COUNTRIES_EFF;All nations
ALL_COUNTRIES_THAT_EFF;All nations
GETTING_ONLY_NEEDS;Only getting $NEED$: ?Y$VAL$%?W
tutorial_chapter_introduction;End of introduction
tutorial_end_of_chapter;End of tutorial chapter
ISSUE_MOVE_EFFECT;?Y$PERCENTAGE$%?W of manpower migrated from ?YSource?W to ?YDestination?W
ADD_WARGOAL_EFFECT;When we add this war goal, we will gain:
ADD_WARGOAL_SUCCESS;When we achieve this war goal, we will gain:
ADD_WARGOAL_FAILURE;When we fail to achieve this war goal, we will gain:
WARDIALOG_TRUCE;Truce:
WARDIALOG_NOCB;No casus belli:
DIPLOMACY_INFAMY2;Infamy: $VALUE$
DIPLOMACY_PRESTIGE2;Prestige: $VALUE$
DIPLOMACY_MILITANCY2;Militancy: $VALUE$
REMOVE_DIPLOMACY_WARDIALOG_ALLIES;?Y$COUNTRY$?W has the following allies:
