#Powered_by_ParaTranz
WARSUBSIDIES_DI;Offer War Subsidies
CANCEL_WARSUBSIDIES_DI;Cancel War Subsidies
ASKMILITARYACCESS_DI;Request Military Access
CANCELASKMILITARYACCESS_DI;Abandon Military Access
GIVEMILITARYACCESS_DI;Grant Military Access
CANCELGIVEMILITARYACCESS_DI;Revoke Military Access
ALLIANCE_DI;Propose Alliance
CANCELALLIANCE_DI;Dissolve Alliance
CALLALLY_DI;Call Ally to Arms
DISCREDIT_DI;Discredit
EXPELADVISORS_DI;Expel Advisors
BANEMBASSY_DI;Blockade Embassy
INCREASEOPINION_DI;Improve Relations
DECREASEOPINION_DI;Reduce Relations
ADDTOSPHERE_DI;Add to Sphere of Influence
REMOVEFROMSPHERE_DI;Remove from Sphere of Influence
INCREASERELATION_DI;Improve Relations
DECREASERELATION_DI;Reduce Relations
GUNBOAT_DI;Gunboat Diplomacy
WAR_DI;Declare War
WARGOAL_DI;Add War Goal
PEACE_DI;Propose Peace
TOPBAR_LEADERSHIP_MAX;You have reached the maximum leadership: ?Y$MAX$?W. No new leadership can be accumulated after this point.\n
IS_MOBILIZED_IRO;(Reserves have been mobilized)
ADD_CRIME;Acquired?Y$NAME$?W\n
TOPBAR_WAR_PLUS;and their Sphere of Influence\n
CANTBUILD_FORCEDISARM;We cannot build new military units because a peace treaty has forced our country to disarm
SOME_LIFE_NEEDS;Some Necessities
TOPBAR_AVG_CHANGE;We estimate it will change by $VAL$?W next month
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;Base daily research points: ?Y$VALUE$?W
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;Daily research points: ?G+$VALUE$?W
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ provides ?G$VALUE$?W research points\n(Currently ?Y$FRACTION$%?W of population, optimal is $OPTIMAL$%)
average_literacy;Literacy Rate
MODIFIER_RESEARCH_POINTS;Research Points
gas;Gas Attack
COMBAT_GAS;Gas attacks are devastating against enemies lacking defenses
MAY_GAS_ATTACK;Can use gas attack\n
MAY_GAS_DEFEND;Can defend against gas attack\n
IMMIGRANTS_FROM;There are ?G$VAL$?W immigrants from $NAME$ here
EMIGRANTS_TO;?R$VAL$?W emigrants to $NAME$
PW_ALL_FOCUSES_USED;All national focuses have been used
HAS_NO_FACTORIES;No Factories\n
HAS_FACTORIES;Has Factories\n
RETREAT_DELAY_IRO;Can choose to retreat in ?Y$VAL$?W days
PW_CANTCOLONIZE;Cannot colonize here
IS_COLONIAL_STATE_POPVIEW;Colonial Territory
CULTURE_IS_NOT;Culture is not
CULTURE_IS;Culture is
INVALID_WARTARGET_TROOPS_IN_THEM;We still have troops in their territory
WEX_EFFECTS;Current Effects
NOBODY_CAN_VOTE_HERE;No one has the right to vote
NOT_ABLE_TO_REINFORCE;This pop is too small to reinforce this brigade
POP_SIZE_UNITVIEW;This pop has ?Y$VAL$?W people and can support ?Y$ALLOWED$?W brigades. Currently it supports ?Y$CURRENT$?W brigades.
MAX_REINF_UNITVIEW;Reinforcing at ?G100%?W speed
POP_IMPACT_UNITVIEW;Due to reserve losses, this unit is being reinforced at ?Y$VAL$%?W speed
MOB_IS_REINFORCE;Mobilized units are being reinforced at ?Y50%?W speed
EVTNAME60120;Rising Federalism
EVTDESC60120;A wave of cultural nationalism is sweeping through $COUNTRY$, with people calling for unification with their brethren in $CULTURE_GROUP_UNION$. We have no reason to doubt they will petition for a union.
EVTOPTA60120;Proceed
EVTNAME60130;Petition for Union from $FROMCOUNTRY$
EVTDESC60130;As national sentiment surges, the government of $FROMCOUNTRY_ADJ$ has made a formal request to our officials at $CAPITAL$, seeking to permanently join $COUNTRY$. There seems to be no reason to oppose this.
EVTOPTA60130;Proceed
EVTOPTB60130;Reject $FROMCOUNTRY$ in the name of God
ATPEACE;At Peace
NORMAL_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ Containment War against $SECOND$
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$$FIRS_COUNTRY$ Containment War against $SECOND$
rude_boy;Containment
rude_boy_desc;Forcing a ?Ycountry?W to drastically reduce its ambitions, this declaration of war has stripped away all civilized pretenses in international affairs
rude_boy_setup;Contain $RECIPIENT$ by reducing its territory, prestige, and military
rude_boy_short;Contain $RECIPIENT$
POP_DETAILS_EXPENSES;Expenses:
CONFIRM_CREATE_VASSAL;Release Nation
CONFIRM_CREATE_VASSAL_DESC;Do you wish to release ?Y$COUNTRY$?W as a ?Y$TYPE$?W?\n?Y$COUNTRY$?W will gain the following ?Y$NUM$?W provinces: ?Y$PROVINCES$?W
egyptian_excavations;Egyptian Excavations
egyptian_excavations_desc;Our country has launched archaeological excavations in the Valley of the Kings.
red_shirts_title;Red Shirts
red_shirts_name;Garibaldi's Red Shirts
red_shirts_desc;The name "Red Shirts" is used to describe the volunteers who served Giuseppe Garibaldi in his struggle to forge the loose Italian city-states into a nation-state. They were so named because Garibaldi and his fighters wore red shirts. The charismatic Garibaldi was renowned at home and abroad, widely regarded as a freedom fighter dedicated to uniting Italy under the Sardinian crown. These Italian pan-nationalists fought for the unification of Italy.
red_shirts_army;Expedition of the Thousand
EVTNAME11103;Expedition of the Thousand!
EVTDESC11103;$MONARCHTITLE$! News has reached us! The famous Italian freedom fighter Giuseppe Garibaldi and his "Expedition of the Thousand" have defeated and taken control of the government of $FROMCOUNTRY$. Wherever this powerful freedom fighter goes, he is welcomed by cheering Italian crowds waving the Italian tricolor flag — the liberator of all Italy. Due to our dominant position on the peninsula, the newly formed government of $FROMCOUNTRY$ has sent word that the nascent Italy will recognize the existing position of $COUNTRY$.
EVTOPTA11103;Viva il Risorgimento!
EVTOPTB11103;Who is this fellow? What does he want from me?
CB_DESC_HEAD;This casus belli allows us to demand:
CB_ALLOWED_DISARMAMENT;Force Disarmament
CB_ALLOWED_REPARATIONS;War Reparations
CB_ALLOWED_STATES;Cede Territory
TRADE_DISABLED_AUTOMATE;This resource is set to automatic trade. Please disable automatic mode to change settings
AUTOMATE_TRADE_CHECK;Toggle automatic trade for this resource
TECHNOLOGYVIEW_RESEARCH_TOOLTIP;We are currently researching ?Y$TECH$?W\nAt the current rate, this project will be completed on ?Y$DATE$?W
INCREASERELATION_THEY_ACCEPT_4;Our relations have improved by ?G$CHANGE$?W, now at ?Y$RELATION$?W
INCREASERELATION_WE_ACCEPT_4;Our relations have improved by ?G$CHANGE$?W, now at ?Y$RELATION$?W
DECREASERELATION_WE_ACCEPT_5;Our relations have changed by ?R$CHANGE$?W, now at ?Y$RELATION$?W
DECREASERELATION_THEY_ACCEPT_6;Our relations have changed by ?R$CHANGE$?W, now at ?Y$RELATION$?W
TRI_1743;Tripoli
NORMAL_WAR_CONCESSION_NAME;$ORDER$$STATE$ Concession War
AGRESSION_WAR_CONCESSION_NAME;$ORDER$$STATE$ Concession War
demand_concession_casus_belli;Demand Concession
demand_concession_casus_belli_desc;Force a ?Yuncivilized nation?W to cede territory for a colonial concession
demand_concession_casus_belli_setup;Demand that $RECIPIENT$ cede territory for a colonial concession
demand_concession_casus_belli_short;Demand $STATE$
NORMAL_WAR_PROTECTORATE_NAME;$ORDER$ Acquisition of $SECOND$ belonging to $FIRST$
AGRESSION_WAR_PROTECTORATE_NAME;$ORDER$ Acquisition of $SECOND$ belonging to $FIRST$
establish_protectorate_casus_belli;Establish Protectorate
establish_protectorate_casus_belli_desc;Annex a ?Yuncivilized nation?W by forcing it to become our protectorate
establish_protectorate_casus_belli_setup;Annex $RECIPIENT$ through the establishment of a protectorate
establish_protectorate_casus_belli_short;Annex $RECIPIENT$
NORMAL_WAR_UNIFICATION_NAME;$ORDER$$FIRST$ Liberate $STATE$
AGRESSION_WAR_UNIFICATION_NAME;$ORDER$$FIRST$ Liberate $STATE$
unification_casus_belli;Unification War
unification_casus_belli_desc;Liberate the core territories of our ?Yculture sphere?W
unification_casus_belli_setup;Liberate the core territories of our ?Yculture sphere?W
unification_casus_belli_short;Liberate $STATE$
POP_PROMOTE_INFO_ON_SEL;Recently $VAL$ $WHO$ registered in $WHERE$
POP_LEAVE_INFO_ON_SEL;Recently lost $VAL$ $WHO$ in $WHERE$
DOMINION;Dominion
SATELLITE;Satellite
DOMINION_OF_NOCOLOR;Dominion of
SATELLITE_OF_NOCOLOR;Satellite of
