#Powered_by_ParaTranz
MULTI_SEL_DESC;?GSHIFT + Left-Click?! to select multiple units
SM_DETAILS;Details
DISBAND_ALL;Disband all selected units
DISBAND_ALL_TITLE;Disband All Units
DISBAND_ALL_DESC;Are you sure you want to?Rdisband?Y$NUM$?! units?
DATE_DIFF_A;$Y$ years, $M$ months and $D$ days
DATE_DIFF_B;$M$ months and $D$ days
DATE_DIFF_C;$D$ days
torpedo_attacks;Torpedo Attack
TORPEDO_ATTACK;Torpedo Attack
TORPEDO_ATTACK_DESC;Torpedo attacks deal extra damage to large ships
NAVAL_COMBAT_STACK_PENALTY_DESC;Due to poor communication between fleets, ships have difficulty finding targets,?Ysuffering?R$PEN$%?Ycoordination penalty. The number of our ships and potential targets specifically affects this.?!
BP_TAB_CURRENT;Current Plans
BP_TAB_HISTORICAL;Historical Plans
BP_TOOL_COLOR_RED;Red
BP_TOOL_COLOR_GREEN;Green
BP_TOOL_COLOR_BLUE;Blue
BP_TOOL_COLOR_YELLOW;Yellow
BP_TOOL_ARROW_SLIM;Thin Arrow
BP_TOOL_ARROW_MEDIUM_1;Medium Arrow 1
BP_TOOL_ARROW_MEDIUM_2;Medium Arrow 2
BP_TOOL_ARROW_MEDIUM_3;Medium Arrow 3
BP_TOOL_ARROW_THICK;Thick Arrow
BP_TOOL_BORDER_1;Border Type 1
BP_TOOL_BORDER_2;Border Type 2
BP_TOOL_BORDER_3;Border Type 3
BP_TOOL_BORDER_4;Border Type 4
BP_TOOL_BORDER_5;Border Type 5
BP_TOOL_ICON_AIRPLANE;Airplane Icon
BP_TOOL_ICON_TANK;Tank Icon
BP_TOOL_ICON_BOMB_1;Small Bomb Icon
BP_TOOL_ICON_BOMB_2;Large Bomb Icon
BP_SAVE_PLAN_CONFIRM;Save Plan
BP_SAVE_PLAN_CANCEL;Cancel
BP_SAVE_PLAN_PROMPT;Plan already exists!\nAre you sure you want to overwrite?
BP_DELETE_SAVED_PLAN_PROMPT;Are you sure you want to delete the saved plan?
BP_DELETE_CURRENT_PLAN_PROMPT;Are you sure you want to delete the current plan?
BP_SHARED_WITH;Shared via:
BP_NEW_PLAN;New Plan
BP_TOOLTIP_TAB_CURRENT;List of existing battle plans
BP_TOOLTIP_TAB_HISTORICAL;List of historical plans\nClick?YEnter?!to add selected to your existing plans
BP_TOOLTIP_TAB_SAVED;List of saved plans\nClick?YEnter?!to add selected to your existing plans
BP_TOOLTIP_NEW_PLAN;Create new plan
BP_TOOLTIP_REMOVE_PLAN;Delete selected plan
