#Powered_by_ParaTranz
GIVE_UNIT_COMMAND_BUTTON;Command Unit
GIVE_UNIT_COMMANDTITLE;Command Unit
GIVE_UNIT_COMMAND_DESC;When a puppet nation fights alongside its overlord, the puppet will hand over command of its units to the overlord.
GIVE_UNIT_COMMAND_OK;Request your puppet nation to hand over command of their units.
GIVE_UNIT_COMMAND_CANT_CONTROL;You can only command units of your ?Ypuppet nation?! when you are fighting together.
GIVE_UNIT_COMMAND_ALREADY_CONTROL;You are already commanding their units.
CANCEL_UNIT_COMMAND_BUTTON;Return Units
CANCEL_UNIT_COMMANDTITLE;Return Units
CANCEL_UNIT_COMMAND_DESC;Return Units
CANCEL_UNIT_COMMAND_OK;Return their units to them.
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;You cannot command this unit.
cut_down_to_size_boxer_setup;Force China to pay for the crimes of the Boxers.
cut_down_to_size_boxer_short;Force China to pay for the crimes of the Boxers.
LACK_OF_MAINTENANCE_GOODS;Lack of Maintenance Goods
AIREASON_TOO_MANY_CRISIS_WARGOALS;Add War Goals
AIREASON_NOT_OVERLORD;Not our overlord
EVTNAME36230;Purchase Polar Bears
EVTDESC36230;Jan Mayen has proposed to buy all our polar bears at a good price. They promise to treat these noble creatures with respect.
EVTOPTA36230;Excellent!
EVTOPTB36230;Never
EVTNAME36231;Purchase Polar Bears - Denmark Accepts
EVTDESC36231;Denmark has agreed to sell all its polar bears to us.
EVTOPTA36231;Wonderful!
EVTNAME36232;Purchase Polar Bears - Denmark Refuses
EVTDESC36232;Denmark refuses to sell all its polar bears to us.
EVTOPTA36232;Oh no!
the_greenland_purchase_title;Purchase Polar Bears
the_greenland_purchase_desc;One thing that has long troubled the great people of Jan Mayen is that all the polar bears in the world are not united under one flag. We should approach Denmark to see if they would be willing to part with their bears.
bears;Bears
polar_bears;Polar Bears
INFLUENCE_SPHERE_NEIGHBOUR;Adjacent Sphere Members
col_liferate_techs;Researching the following technologies can help improve local living conditions:
unite_moldavia_wallachia_title;Moldavia and Wallachia United!
unite_moldavia_wallachia_desc;Moldavia and Wallachia have united to form Romania!
SOIS_HAS_REBELS_WARNING;Rebels have risen up against our sphere members: ?Y$LIST$?!
ALLIANCE_INVALID_GPS_IN_CRISIS;An alliance cannot be established between ?Ytwo great powers?! when a ?Ycrisis?! is in progress.
BP_TOOL_ARROW_MEDIUM_1_DASHED;Medium Dashed Arrow 1
BP_TOOL_ARROW_MEDIUM_2_DASHED;Medium Dashed Arrow 2
BP_TOOL_ARROW_MEDIUM_3_DASHED;Medium Dashed Arrow 3
BP_TOOL_ARROW_THICK_DASHED;Thick Dashed Arrow
BP_TOOL_ARROW_SLIM_DASHED;Slim Dashed Arrow
BP_OPEN_TOOLTIP;Enable/disable battle plan editing.
BP_TOGGLE_TOOLTIP;Show/hide existing battle plans.
EVTOPTC23212;A colonized comet must make a good satellite!
liberate_liberia_title;Liberate Liberia
