#Powered_by_ParaTranz
MIL_FROM_TROOPS;Army soldiers
MIL_FROM_CAP_SHIPS;Capital ships
MIL_FROM_LEADERS;Generals
OCCUPATION_SCORE;Occupation:
BLOCKADE_SCORE;Blockade:
OUTLINER_TOOLTIP_EMPLOYED;?Y$COUNT$?! are employed in factories (?Y$PERC$?!)
TRADE_SUPPLY_NEED_A;$VAL$ per day to supply the army\n
TRADE_SUPPLY_NEED_N;$VAL$ per day to supply the fleet\n
DIPLOMACY_CANNOT_SET_PRIO_WAR;We cannot influence a country at war with us
DIPLOMACY_INFLUENCE_NOT_WORTH;Our influence has reached its maximum, and no other country is influencing this nation, so influence points are not needed for now
COLONY_ABORT_HEADER;When a colony is abandoned
COLONY_ABORT_1;Colony abandoned!
COLONY_ABORT_2;$MONARCHTITLE$, our colony
COLONY_ABORT_3;?Y$TARGET$?!
COLONY_ABORT_4;has been abandoned!
COLONY_ABORT_5;We can no longer colonize here
COLONY_ABORT_6;*
COLONY_ABORT_BTN1;OK
COLONY_ABORT_BTN2;OK
COLONY_ABORT_BTN3;Go to
COLONY_ABORT_MAP;Colony abandoned!
COLONY_ABORT_SETUP;When a colony is abandoned
COLONY_ABORT_LOG;Colony of $TARGET$ abandoned
DIPRELCH_VALID_CB;Available casus belli
BRIGADES_COMPARE_GREATER;The ratio of troops between the two countries is at least $VAL$?!
BRIGADES_COMPARE_SMALLER;The ratio of troops between the two countries is less than $VAL$?!
CONFIRM_CREATE_STATE_DESC2;(All local modifications will be removed)
UNIT_ENABLE_REBEL_HUNT;Hunt rebels
UNIT_DISABLE_REBEL_HUNT;(Hunting rebels)
UNIT_REBEL_HUNT_WILL_HUNT;?G Units are ready to hunt rebels
UNIT_REBEL_HUNT_IS_BUSY;?R Units are currently busy and cannot hunt rebels
UNIT_REBEL_HUNT_LOW_MORALE;?R Units have too low morale to hunt rebels
UNIT_REBEL_HUNT_NO_VALID;?R Rebels have been spotted, but our troops will not attack for now, as the enemy is too strong or our troops cannot reach the location
NOT_RELEASE_AT_WAR;?R (Cannot release satellites during war)?W
COLONY_SUCCESS_5;Gain?Y$PRESTIGE$?! prestige
COLONY_SUCCESS_6;(Base value?Y$BASE$?! for?Y$PROV$?! provinces)
COUNTRY_PUPPETS_LIST;Puppets:
POLL_ESTIMATED_ELECTION;We expect the election result to be
MODIFIER_MOVEMENT_COST;Army movement cost
SPEED_IMPACT_ON_CB;Build-up speed change?Y$VAL$?W
TERR_COMB_WIDTH_DEC;This terrain reduces combat width by?Y$VAL$?W%
MODIFIER_BOOST_STRONGEST_PARTY;Strength of the largest party
PEACEDEMANDDESC;$COUNTRY$ has proposed the following peace terms:
CB_JUSTIFY_NO_LONGER_VALID_SETUP;When our war justification process is no longer valid
CB_JUSTIFY_NO_LONGER_VALID_HEADER;$MONARCHTITLE$
CB_JUSTIFY_NO_LONGER_VALID_1;War justification
CB_JUSTIFY_NO_LONGER_VALID_2;We used
CB_JUSTIFY_NO_LONGER_VALID_3;to justify
CB_JUSTIFY_NO_LONGER_VALID_4;?Y$CASUS$?W as a reason for
CB_JUSTIFY_NO_LONGER_VALID_5;war against $TARGET$
CB_JUSTIFY_NO_LONGER_VALID_6;is no longer valid!
CB_JUSTIFY_NO_LONGER_VALID_LOG;Our war justification process against $TARGET$ is no longer valid.
CB_JUSTIFY_NO_LONGER_VALID_BTN1;OK
CB_JUSTIFY_NO_LONGER_VALID_BTN2;OK
CB_JUSTIFY_NO_LONGER_VALID_BTN3;Go to
CB_JUSTIFY_NO_LONGER_VALID_MAP;*
NO_ALLOWED_COUNTRIES;(No suitable countries)
NO_ALLOWED_STATES;(No suitable states)
HAS_LESS_STATE_THAN;Number of states less than
HAS_STATES_GREATER_EQ;Number of states at least
HAVE_MORE_SUBSTATES_THEN;Number of substates more than
HAVE_LESS_SUBSTATES_THEN;Number of substates at least
HAVE_MORE_VASSALS_THAN;Number of puppets more than
HAS_UNION_TAG;Has pan-cultural nation
HAS_NO_UNION_TAG;Has no pan-cultural nation
