#Powered_by_ParaTranz
KEYNAME;Text
news1;$TAG_2_0$government has accepted peace on the following terms: $STRING_0_1$
battle_we_win_title_large;Great Victory at $STRING_0_3$!
battle_we_win_large;On $DATE_LONG_0$, our invincible army once again triumphed at $STRING_0_3$! Our $VALUE_INT_0_1$ brave warriors gave the $VALUE_INT_0_3$-strong $TAG_0_3_ADJ$ army a bitter taste. Although $VALUE_INT_0_2$ of our fearless men laid down their lives, $VALUE_INT_0_4$ $TAG_0_3_ADJ$ scoundrels were killed. The enemy fled in defeat, and control of the region is now in our hands. After such a crushing defeat, $TAG_0_3$ has no choice but to beg for peace!
battle_we_win_title_medium;Victory at $STRING_0_3$!
battle_we_win_medium;On $DATE_LONG_0$, we defeated the $VALUE_INT_0_3$-strong $TAG_0_3_ADJ$ army at $STRING_0_3$, losing only $VALUE_INT_0_2$ men.
battle_we_win_title_small;Victory!
battle_we_win_small;On $DATE_LONG_0$, we defeated the $VALUE_INT_0_3$-strong $TAG_0_3_ADJ$ army at $STRING_0_3$.
battle_we_lose_title_large;Strategic Blunder Leads to Crushing Defeat at $STRING_0_3$!
battle_we_lose_large;On $DATE_LONG_0$, those in high command recklessly sent $VALUE_INT_0_4$ brave warriors to their deaths at $STRING_0_3$ against the $TAG_0_2$ army. Our $VALUE_INT_0_3$ elite soldiers faced the $VALUE_INT1$-strong $TAG_0_2_ADJ$ army, contending with both their own pig-headed generals and the enemy's despicable tactics. Even in this dire situation, they still inflicted $VALUE_INT_0_2$ casualties on the enemy. This paper expresses deep concern over those responsible for this war and strongly urges the government to take appropriate measures. It is not too late to mend the fold!
battle_we_lose_title_medium;Defeat at $STRING_0_3$
battle_we_lose_medium;On $DATE_LONG_0$, we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ soldiers and handing control of the region to $TAG_0_2$.
battle_we_lose_title_small;Crushing Defeat at $STRING_0_3$
battle_we_lose_small;On $DATE_LONG_0$, we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ soldiers and handing control of the region to $TAG_0_2$.
gwar_we_win_large_title;$TAG_3_0_UPPER$ Surrenders!
gwar_we_win_large_desc;On $DATE_LONG_1$, with our great victory, the grand war between $TAG_0_0$ and $TAG_1_0$ has come to an end. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$, with the final result being $STRINGS_LIST_4$.
gwar_we_win_medium_title;Armistice Signed!\nVictory!
gwar_we_win_medium_desc;On $DATE_LONG_1$, with our great victory, the grand war between $TAG_0_0$ and $TAG_1_0$ has come to an end. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$.
gwar_we_win_small_title;Victory over $TAG_3_0$!
gwar_we_win_small_desc;$STRING_0_0$ ended with the defeat of $TAG_3_0$.
gwar_we_lose_large_title;Day of Shame\nPeace Treaty with $TAG_2_0_UPPER$ Signed!
gwar_we_lose_large_desc;On $DATE_LONG_1$, the war against $TAG_2_0$ ended in our shameful defeat. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$, with the final result being $STRINGS_LIST_4$.
gwar_we_lose_medium_title;Peace with $TAG_2_0_UPPER$!
gwar_we_lose_medium_desc;On $DATE_LONG_1$, with our army's defeat, the grand war between $TAG_0_0$ and $TAG_1_0$ has come to an end. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$.
gwar_we_lose_small_title;Peace with $TAG_2_0$
gwar_we_lose_small_desc;$STRING_0_0$ has ended, and we have been defeated by $TAG_2_0$.
war_we_win_large_title;Armistice Signed!\n$TAG_3_0_UPPER$ Surrenders
war_we_win_large_desc;On $DATE_LONG_1$, with our great victory, the war between $TAG_0_0$ and $TAG_1_0$ has come to an end. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$, with the final result being $STRINGS_LIST_4$.
war_we_win_medium_title;Armistice Signed!\nVictory!
war_we_win_medium_desc;On $DATE_LONG_1$, with our great victory, the war between $TAG_0_0$ and $TAG_1_0$ has come to an end. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$.
war_we_win_small_title;Victory over $TAG_3_0$!
war_we_win_small_desc;$STRING_0_0$ ended with the defeat of $TAG_3_0$.
war_we_lose_large_title;Day of Shame\nPeace Treaty with $TAG_2_0_UPPER$ Signed!
war_we_lose_large_desc;On $DATE_LONG_1$, the war against $TAG_2_0$ ended in our shameful defeat. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$, with the final result being $STRINGS_LIST_4$.
war_we_lose_medium_title;Shameful Peace Treaty Signed!
war_we_lose_medium_desc;On $DATE_LONG_1$, with our army's defeat, the war between $TAG_0_0$ and $TAG_1_0$ has come to an end. This war, known as $STRING_0_0$, began on $DATE_SHORT_0$ and ended on $STRING_9_0$, with $TAG_2_0$ as the ultimate victor.
war_we_lose_small_title;Peace with $TAG_2_0$
war_we_lose_small_desc;$STRING_0_0$ has ended, and we have been defeated by $TAG_2_0$.
rebels_win_small_title;Revolution!
rebels_win_small_desc;$STRING_0_0$ has crushed $TAG_0_0$, and the entire nation is devastated. What will $STRING_0_3$$STRING_0_4$ do now?!
some_fake_1836_title_1;Opium News Flash!
some_fake_1836_1;An opium craze is sweeping China. The trade routes may be far, but they are absolutely worth the effort.
some_fake_1836_title_2;Ether Frenzy
some_fake_1836_2;More and more people are attending ether-smoking parties, and authorities claim this will consume massive amounts of gas!
some_fake_1836_title_3;Pleasant Dreams
some_fake_1836_3;General anesthesia is used for the first time in surgery, as American surgeons put patients to sleep during tumor removal operations.
some_fake_1836_title_4;Character Encoding
some_fake_1836_4;The world's first telegraph using Morse code appeared in the United States.
some_fake_1836_title_5;Stamp Collectors' Celebration!
some_fake_1836_5;Britain introduced a postage stamp system known as the Penny Black, bearing a portrait of the young Queen Victoria.
some_fake_1836_title_6;Revealing Reality!
some_fake_1836_6;"Dead Souls" is published in Russia, with critics declaring the work too absurd.
some_fake_1836_title_7;Woodwind or Brass?
some_fake_1836_title_8;Gold Rush!
some_fake_1836_8;Gold has been discovered in California, drawing a massive influx of prospectors to the region!
some_fake_1836_title_9;"The Raven" Published
some_fake_1836_9;A somber and eerie masterpiece, this work by Edgar Allan Poe will make the hair on your neck stand on end.
some_fake_1836_title_10;Fuller Female Figures
some_fake_1836_10;(Readers may judge for themselves) The maximum and minimum values of women's waist and hip sizes at different periods in history. See page 5
some_fake_1836_title_11;Editorial
some_fake_1836_11;Liberalism will destroy Western civilization. Without a strong government, the people will starve and revert to barbarism to survive and raise their offspring. (See edition 10)
some_fake_1850_title_1;Our Ancestors?
some_fake_1850_1;The discovery of Neanderthal fossils in Germany has astonished scientists.
some_fake_1850_title_2;Editorial:
some_fake_1850_2;This paper believes that animal fat is the perfect cartridge lubricant. See how we arrived at this irrefutable conclusion (see edition 10)
some_fake_1850_title_3;Declining Canals
some_fake_1850_3;The once-glorious canal system, regarded as a national symbol, is in decline. Is there anything we can do? See page 4
some_fake_1860_title_1;Lincoln Assassinated
some_fake_1860_1;Abraham Lincoln was assassinated at Ford's Theatre, shot at point-blank range by John Wilkes Booth.
some_fake_1860_title_2;Lincoln Safe and Sound
some_fake_1860_2;After John Wilkes Booth's assassination attempt on Abraham Lincoln failed, the president threw him from the balcony of Ford's Theatre.
some_fake_1860_title_3;Lack of Chivalry
some_fake_1860_3;Military submarines, once invented, were immediately deemed dishonorable and evil weapons worldwide and should be permanently banned.
some_fake_1860_title_4;Healthcare
some_fake_1860_4;Florence Nightingale founded a school of nursing at St. Thomas' Hospital in London.
some_fake_1860_title_5;Organization of the Elements
some_fake_1860_5;Mendeleev discovered the periodic table of the elements, listing all 56 known elements.
some_fake_1860_title_6;Bicycle Craze
some_fake_1860_6;A bicycle craze is sweeping the Western world. Bicycles—worth having!
some_fake_1860_title_7;Widest Sombrero in History
some_fake_1860_7;Reportedly, an astonishing 57-inch sombrero has appeared in Mexico.
some_fake_1860_title_8;Fire Department Founded
some_fake_1860_8;They're new, but they're the best.
some_fake_1860_title_9;Football Gains Popularity
some_fake_1860_9;Attendance at Football Association matches has increased, with exciting matches especially popular among laborers and the poor.
some_fake_1860_title_10;Editorial:
some_fake_1860_10;Beware of women's bicycles. When women ride these machines, their skirts fluttering in the wind and their bare ankles and legs visible will mesmerize nearby men (edition 10)
some_fake_1860_title_11;Pompeii and Herculaneum Brought to Light
some_fake_1860_11;New excavation methods will bring these two cities, destroyed by the eruption of Mount Vesuvius in 79 AD, back to light.
some_fake_1870_title_1;Editorial:
some_fake_1870_1;The backward peoples of Africa warmly welcome our benevolent government. Just as many Irish people once welcomed the British monarch, these blacks yearn for white rule (edition 10)
some_fake_1870_title_2;Literature:
some_fake_1870_2;"Around the World in 80 Days" brings readers a delightful feast of knowledge!
some_fake_1870_title_3;Corset Fainting
some_fake_1870_3;What a day for the sick! Recently, our medical centers have been filled with victims of overly tight corsets.
some_fake_1880_title_1;Test Flight Success!
some_fake_1880_1;A military airship named "La France" became the first powered airship in history to complete a round-trip voyage.
some_fake_1880_title_2;High-Rise Buildings
some_fake_1880_2;"Skyscrapers" are beginning to be built in the United States. These massive steel-frame structures tower over their surroundings.
some_fake_1880_title_3;Mint Julep Saved!
some_fake_1880_3;Marvin C. Stone of the United States invented the "drinking straw."
some_fake_1880_title_4;Everything Goes Your Way
some_fake_1880_4;A cure for morphine addiction has been found in the United States: coca wine!
some_fake_1880_title_5;Bismarck Resigns
some_fake_1880_5;Bismarck resigned as Chancellor, and the great ship of Germany has lost its helmsman.
some_fake_1880_title_6;Editorial:
some_fake_1880_6;Socialism will destroy Western civilization. Why? Because it grants power to the working class and makes them believe they will live better and richer lives. Bullshit! (edition 10)
some_fake_1880_title_7;Should the U.S. Government Act?
some_fake_1880_7;Lynching of blacks has become commonplace in the heartland of America. Our editors cannot help but ask: should the state intervene or prevent such acts?
some_fake_1890_title_1;Takeoff!
some_fake_1890_1;The Ader "Éole" was a steam-powered aircraft that made a short experimental flight near Paris.
some_fake_1890_title_2;Test Flight Success!
