#Powered_by_ParaTranz
EVTNAME5002;Stanley Cup
EVTDESC5002;Lord Stanley of Preston, the Governor General of Canada, became obsessed with ice hockey, a sport that originated from field hockey. He donated this trophy in 1892, and it became the prize for Canada's top amateur ice hockey club.
EVTOPTA5002;This might catch on...
EVTNAME5001;World Cup
EVTDESC5001;Uruguay has just hosted the first FIFA World Cup, achieving brilliant success. Although many European nations did not participate, it was still a great football feast. Most importantly, Uruguay defeated Argentina 4-2 in the final!
EVTOPTA5001;Glory to Uruguay!
EVTNAME5000;First FA Cup
EVTDESC5000;With a fiercely contested match, the first FA Cup began at the Kennington Oval in London. A surprising result saw Bolton Wanderers defeat the Royal Engineers 1-0 to win the championship.
EVTOPTA5000;The people will love it!
DEFINE_ADMIRAL_EFFECT;?Y$NAME$ Admiral?W will serve you ($PER$$BAC$)\n
DEFINE_GENERAL_EFFECT;?Y$NAME$ General?W will serve you ($PER$$BAC$)\n
DO_NOT_HAVE_TECH_TRI;Has not invented ?Y$TECH$?W\n
HAVE_TECH_TRI;Has invented ?Y$TECH$?W\n
NO_RAIL_YET;We cannot encourage railway construction when we do not know how to build railways at all.
NOT_DISC_THESE_YET;We cannot encourage industries that have not yet been invented.
WAR_WE_ACCEPT_HEADER;Foreign Office Report
WAR_WE_ACCEPT_1;War!
WAR_WE_ACCEPT_2;$MONARCHTITLE$, $BADWORD$ has invaded our nation!
WAR_WE_ACCEPT_3;$AGRESSOR$ has declared war,
WAR_WE_ACCEPT_4;Prepare for battle...
WAR_WE_ACCEPT_5;*
WAR_WE_ACCEPT_6;*
WAR_WE_ACCEPT_LOG;$AGRESSOR$ has declared war on us!
WAR_WE_ACCEPT_BTN1;OK
WAR_WE_ACCEPT_BTN2;OK
WAR_WE_ACCEPT_BTN3;Go to
WAR_WE_ACCEPT_MAP;War!
WAR_OTHER_ACCEPT_SETUP;When one nation declares war on another
WAR_OTHER_ACCEPT_HEADER;Foreign Office Report
WAR_OTHER_ACCEPT_1;$AGRESSOR$
WAR_OTHER_ACCEPT_2;$MONARCHTITLE$, $AGRESSOR$
WAR_OTHER_ACCEPT_3;has declared war
WAR_OTHER_ACCEPT_4;their new enemy
WAR_OTHER_ACCEPT_5;$DEFENDER$
WAR_OTHER_ACCEPT_6;*
WAR_OTHER_ACCEPT_LOG;$AGRESSOR$ has declared war on $DEFENDER$.
WAR_OTHER_ACCEPT_BTN1;OK
WAR_OTHER_ACCEPT_BTN2;OK
WAR_OTHER_ACCEPT_BTN3;Go to
DECLWAR_LIMITED;This is a limited war.
WAR_THEY_ACCEPT_SETUP;When our nation declares war on another nation
WAR_THEY_ACCEPT_HEADER;Foreign Office Report
WAR_THEY_ACCEPT_1;We have declared war on
WAR_THEY_ACCEPT_2;$DEFENDER$
WAR_THEY_ACCEPT_3;*
WAR_THEY_ACCEPT_4;*
WAR_THEY_ACCEPT_5;*
WAR_THEY_ACCEPT_6;*
WAR_THEY_ACCEPT_LOG;We have declared war on $DEFENDER$.
WAR_THEY_ACCEPT_BTN1;OK
WAR_THEY_ACCEPT_BTN2;OK
WAR_THEY_ACCEPT_BTN3;Go to
WAR_THEY_ACCEPT_MAP;War!
LOSE_CORE_EFFECT_2;$WHO$ has lost the core of $LOSE$\n
