Elisabethville;Elizabethville
Leopoldville;Leopoldville
Stanleyville;Stanleyville
Salisbury;Salisbury
Southern Rhodesia;Southern Rhodesia
Brazzaville;Brazzaville
Friedrich-Wilhelmshafen;Friedrich-Wilhelmshafen
Kaiser-Wilhelms-Land;Kaiser-Wilhelms-Land
Constantinople;Constantinople
Arkham;Arkham
Kolmar;Colmar
Straßburg;Strasbourg
Elsaß-Lothringen;Alsace-Lorraine
Colmar;Colmar
Strasbourg;Strasbourg
Alsace-Lorraine;Alsace-Lorraine
Blagoveshchensk;Blagoveshchensk
Nikolayevsk-na-amure;Nikolayevsk-na-amure
Khabarovsk;Khabarovsk
Pashkovo;Pashkovo
Vladivostok;Vladivostok
Primorye;Primorye
Babylon;Babylon
Little Bighorn;Little Bighorn
Apache Raiders;Apache Raiders
Local native groups are raiding our settlements in $PROVINCENAME$;Local native groups are raiding our settlements in $PROVINCENAME$.
Johannesburg;Johannesburg
American War of Independence;American War of Independence
Ottoman Restoration of Tripoli;Ottoman Restoration of Tripoli
Texan War of Independence;Texan War of Independence
