#Powered_by_ParaTranz
Start Research;Start Research
LEDGER;Ledger
BUY;Buy
Ideology;Ideology
Culture;Culture
Workforce;Workforce
OL_VIEW_rebel_occupations;Rebel Siege
OL VIEW rebel occupations;Rebel Siege
OL_VIEW_sieges;Siege
OL VIEW sieges;Siege
OL_VIEW_hostile_sieges;Hostile Siege
OL VIEW hostile sieges;Hostile Siege
OL_VIEW_combat;Land Combat
OL VIEW combat;Land Combat
OL_VIEW_navalcombat;Naval Combat
OL VIEW navalcombat;Naval Combat
OL_VIEW_armies;Army
OL VIEW armies;Army
OL_VIEW_navies;Navy
OL VIEW navies;Navy
OL_VIEW_factories;Factories
OL VIEW factories;Factories
OL_VIEW_buildings;Construction
OL VIEW buildings;Construction
OL_VIEW_army_construction;Army Recruitment
OL VIEW army construction;Army Recruitment
OL_VIEW_navy_construction;Navy Construction
OL VIEW navy construction;Navy Construction
OL_VIEW_gp_influence;Influence Nation
OL VIEW gp influence;Influence Nation
OL_VIEW_natfocus;National Focus
OL VIEW natfocus;National Focus
OL_VIEW_rallypoints;Rally Points
OL VIEW rallypoints;Rally Points
PAP_absolute_monarchy;Papal States
PAP_prussian_constitutionalism;Papal States
AUS_absolute_monarchy;Austrian Empire
AUS_prussian_constitutionalism;Austrian Empire
KUK_absolute_monarchy;Austro-Hungarian Empire
KUK_prussian_constitutionalism;Austro-Hungarian Empire
SPA_absolute_monarchy;Spanish Empire
FRA_absolute_monarchy;French Empire
TUR_absolute_monarchy;Ottoman Empire
TUR_absolute_monarchy_ADJ;Ottoman
TUR_prussian_constitutionalism;Ottoman Empire
TUR_prussian_constitutionalism_ADJ;Ottoman
CHI_absolute_monarchy;Great Qing Empire
CHI_absolute_monarchy_ADJ;Great Qing
CHI_prussian_constitutionalism;Great Qing Empire
CHI_absolute_monarchy_ADJ;Great Qing
DAI_absolute_monarchy;Dai Nam Empire
DAI_prussian_constitutionalism;Dai Nam Empire
SAR_absolute_monarchy;Kingdom of Sardinia
SAR_prussian_constitutionalism;Kingdom of Sardinia
SIA_absolute_monarchy;Siam
SIA_absolute_monarchy_ADJ;Siamese
SIA_prussian_constitutionalism;Siam
SIA_prussian_constitutionalism_ADJ;Siamese
ETH_absolute_monarchy;Ethiopian Empire
ETH_prussian_constitutionalism;Ethiopian Empire
MAD_absolute_monarchy;Merina Kingdom
MAD_prussian_constitutionalism;Merina Kingdom
BRZ_absolute_monarchy;Brazilian Empire
BRZ_prussian_constitutionalism;Brazilian Empire
BRZ_hms_government;Brazilian Empire
